http://genome.ucsc.edu/cgi-bin/hgTracks?hgS_doOtherUser=submit&hgS_otherUserName=Tomkap&hgS_otherUserSessionName=ZLD,,,,,,,,,,,,,,,,,,,
PID,Chr,From,To,Peak,Height,Label,Link,Genes,Dists,TSS_gene,TSS_dist,St3_Height,St4_Height,St5_Height,Slope,Dynamics,Max_3_to_1_contamination,Max_1_to_3_contamination,DNaseI_st5
11,chr3R,16369020,16369420,16369230,5692.8,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:16364020-16374420,"Stat92E,MtnD,att-ORFA,","0,-8223,8880,", Stat92E ,7622,5640.9,5504.6,5947.2,0.08, -- ,0.9485,1.0543,659.8714
12,chr3L,4696250,4696580,4696430,5868.9,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:4691250-4701580,"Gef64C,CG13713,CG15876,","0,1248,-1607,", CG13713 ,1248,7518.5,5651.9,4436.4,-0.76, \- ,1.6947,0.5901,69.6163
13,chr2L,18596870,18597320,18597070,5479.3,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:18591870-18602320,"amos,CG15160,CG10413,","0,-1639,2678,", amos ,130,6721.3,5027.1,4896.9,-0.46, \- ,1.3726,0.7286,183.132
14,chr3L,4694740,4695070,4694920,5562.2,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:4689740-4700070,"Gef64C,CG15876,CG13713,","0,-97,2758,", CG15876 ,97,6963.6,4776.4,4946.7,-0.49, \- ,1.4077,0.7104,110.5966
15,chr3R,4103530,4103860,4103680,6006.2,UTR5,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:4098530-4108860,"ato,CG9630,CG11671,","0,-8076,9980,", ato ,167,5028.9,6158.5,6845.4,0.44, /- ,0.7346,1.3612,278.0016
16,chr3L,16766270,16766630,16766450,5612.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:16761270-16771630,"Nrt,CG13025,CG9705,","0,3177,6750,", Nrt ,171,5694.3,5946,5197.3,-0.13, -- ,1.0956,0.9127,577.9441
17,chr3L,8668600,8668920,8668750,5560,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:8663600-8673920,"h,CG6486,Arr2,","108,-24639,-26714,", h ,108,4625.1,6241.7,5847.1,0.34, /- ,0.791,1.2642,543.0536
18,chr2R,3373730,3374060,3373910,5077.1,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:3368730-3379060,"CG42396,CG1621,CG1620,","0,4423,7399,", CG42396 ,81,5726.9,5741.5,3763.1,-0.61, -\ ,1.5219,0.6571,901.1758
19,chr3R,21849020,21849360,21849190,5766.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:21844020-21854360,"HLHm3,m4,HLHm5,","-332,566,5381,", m4 ,1025,6023.3,5208.9,6067.4,0.01, -- ,0.9927,1.0073,236.2731
20,chr3R,27018790,27019160,27018970,5165.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:27013790-27024160,"CG31004,bnk,CG1544,","0,0,3669,", bnk ,25,7030.2,4473.3,3995.9,-0.82, \- ,1.7594,0.5684,92.5553
21,chr2R,11778410,11778750,11778580,5552.2,UTR5,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:11773410-11783750,"sli,CG33463,CG33464,","0,4753,-17931,", CG33463 ,5352,3610.7,6349.3,6702.9,0.89, /- ,0.5387,1.8564,543.0333
22,chr3L,13371450,13371790,13371620,5532.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:13366450-13376790,"SNCF,CG14111,CG14107,","64,771,1833,", SNCF ,64,5729.9,5023.9,5858.6,0.03, -- ,0.978,1.0225,319.3882
23,chr3R,2581200,2581520,2581340,5023.1,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:2576200-2586520,"zen,bcd,CG1162,","0,223,-659,", CG1162 ,659,6592.3,4177.6,4326,-0.61, \- ,1.5239,0.6562,60.3028
24,chr2L,1119850,1120210,1120020,4957.5,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:1114850-1125210,"Pino,CG14340,CG14339,","0,-5880,-7318,", Pino ,881,6278.9,4069,4524.5,-0.47, \- ,1.3878,0.7206,298.8716
25,chrX,6891290,6891810,6891620,4930.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:6886290-6896810,"inx7,inx2,CG14430,","0,1075,-10384,", inx2 ,1075,5727.6,4129.4,4934.1,-0.22, \- ,1.1608,0.8615,268.4866
26,chr2R,18965150,18965510,18965330,4876.8,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:18960150-18970510,"Art7,CG3085,Gr59a,","0,-949,2753,", Art7 ,1229,7619.3,4711.3,2317.5,-1.72, \\ ,3.2878,0.3042,110.0381
27,chr2R,18577120,18577450,18577300,4875.4,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:18572120-18582450,"ppa,robo,CG30259,","-822,2728,11648,", ppa ,822,4496.2,4960.3,5182.4,0.2, -- ,0.8676,1.1526,621.2344
28,chr2L,13225240,13225870,13225450,4864,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:13220240-13230870,"CG15480,CG16812,CG16813,","-244,-900,2402,", CG15480 ,244,5119.3,4625.9,4969,-0.04, -- ,1.0302,0.9706,693.0137
29,chr3L,20395710,20396030,20395860,5344.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:20390710-20401030,"trbl,CG13248,CG33969,","-1152,4340,-9212,", trbl ,1152,3836,6354.6,5843.1,0.61, /- ,0.6565,1.5232,857.231
30,chr3R,7600920,7601450,7601110,4823.7,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:7595920-7606450,"l(3)neo38,CG17360,Lk6,","0,5740,-10931,", l(3)neo38 ,2961,4479.9,4962.4,5032.5,0.17, -- ,0.8902,1.1234,386.5564
31,chrX,289790,290110,289970,5328.8,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:284790-295110,"CG32816,sc,l(1)sc,","0,122,13785,", sc ,122,5655,4586.2,5745.3,0.02, -/ ,0.9843,1.016,241.0293
32,chr2L,13227250,13227830,13227600,4794.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:13222250-13232830,"CG16813,CG16815,CG15480,","252,2041,-2394,", CG16813 ,252,6602,4115.1,3682.4,-0.84, \- ,1.7928,0.5578,180.6468
33,chr2R,13689270,13689600,13689400,4791.3,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:13684270-13694600,"grh,CG5036,CG5033,","893,-3750,-9438,", grh ,893,4259,5223.2,4891.8,0.2, /- ,0.8707,1.1486,771.278
34,chr3R,5224500,5225290,5225110,4734.1,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:5219500-5230290,"Or85f,CG34117,RpL34b,","0,181,922,", CG34117 ,661,4770.3,4703.8,4728.2,-0.01, -- ,1.0089,0.9912,163.5406
35,chr3R,10,360,180,4663,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:-4990-5360,"CG12581,Dsk,CG12582,","199,15207,22848,", CG12581 ,199,4176.1,5022.9,4800.8,0.2, /- ,0.8699,1.1496,621.3113
36,chr3R,4293470,4293820,4293640,4945,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:4288470-4298820,"PQBP-1,Or85b,Or85c,","0,42158,43815,", PQBP-1 ,9675,3690.7,5139.4,6016.5,0.7, // ,0.6134,1.6302,181.0824
37,chr3R,24684960,24685320,24685130,4594.7,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:24679960-24690320,"CG31048,inx3,CG33203,","0,-215,11199,", inx3 ,215,3308.4,4833.1,5651.5,0.77, // ,0.5854,1.7082,670.3974
38,chr2R,16935440,16936030,16935860,4208.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:16930440-16941030,"shg,cpa,CG15653,","2246,9435,11543,", shg ,8804,3491.4,4308,4842,0.47, /- ,0.7211,1.3868,824.3558
39,chrX,18203340,18203910,18203530,4204.1,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:18198340-18208910,"os,CG6023,CG6123,","-509,4625,14741,", os ,509,5542.4,4088.6,3612.6,-0.62, \- ,1.5342,0.6518,418.0086
40,chr3R,19712320,19712690,19712500,4183.8,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:19707320-19717690,"Pli,TfIIA-S,CG13597,","0,3608,4905,", Pli ,2783,3803.4,3980.4,4790.5,0.33, -/ ,0.7939,1.2595,549.787
41,chr2R,9335390,9335730,9335530,4195.8,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:9330390-9340730,"cnn,CG30062,cbs,","0,-1687,2638,", cnn ,1372,3358,4672.6,4558.2,0.44, /- ,0.7367,1.3574,240.3204
42,chr2R,7125080,7125420,7125250,4606,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:7120080-7130420,"CG34224,CG13216,CG13217,","-121,361,-1062,", CG34224 ,121,4318.3,4478.6,5021.1,0.22, -- ,0.86,1.1627,252.1858
43,chr3L,20510330,20510650,20510490,4355.8,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:20505330-20515650,"CG5059,mTerf3,CG32425,","0,2198,-3278,", CG5059 ,90,4181.2,4277.2,4614.9,0.14, -- ,0.906,1.1037,270.5521
44,chr2L,13229390,13229930,13229750,4099.2,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:13224390-13234930,"CG16815,CG16813,Prosalpha6T,","0,-1343,2288,", CG16815 ,109,6279.6,3791.8,2302.6,-1.45, \\ ,2.7272,0.3667,122.5332
45,chr2L,1410880,1411220,1411070,4095.2,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:1405880-1416220,"lea,CG14346,NLaz,","0,-42023,-49338,", lea ,9379,3266.9,4171.2,4863.7,0.57, // ,0.6717,1.4888,505.635
46,chr3L,14269240,14269570,14269400,4720.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:14264240-14274570,"fz,CG7906,CG34244,","0,-38028,-40580,", fz ,1926,3159.5,4585.7,6431.8,1.03, // ,0.4912,2.0357,105.8446
47,chr2R,7070150,7070650,7070330,4054,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:7065150-7075650,"shn,CG13230,CG12391,","0,-27599,-32769,", shn ,398,4754.7,4051.5,3355.8,-0.5, -- ,1.4169,0.7058,54.5298
48,chrX,10387790,10388270,10387990,4053.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:10382790-10393270,"spri,CG32687,PPP4R2r,","0,-7330,-12013,", spri ,221,5037.8,3566,3592,-0.49, \- ,1.4025,0.713,98.5032
49,chr3R,26592710,26593080,26592910,4341.5,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:26587710-26598080,"zfh1,CG11315,CG11314,","0,-20900,-21927,", zfh1 ,1263,3367.7,4631.2,5033.1,0.58, /- ,0.6691,1.4945,116.2217
50,chr3R,2689600,2690020,2689830,3862.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:2684600-2695020,"ftz,Scr,Antp,","215,-13944,32144,", ftz ,215,3982.7,3999.5,3627.5,-0.13, -- ,1.0979,0.9108,271.9305
51,chr3R,13906440,13906850,13906640,3841.6,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:13901440-13911850,"CG14317,sr,htl,","202,9884,-27934,", CG14317 ,202,5040.8,3726.6,2757.4,-0.87, \- ,1.8281,0.547,107.5596
52,chr2R,8418240,8418570,8418410,4411.9,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:8413240-8423570,"fra,CG33632,CG8569,","0,-8174,-9279,", fra ,1850,3460.3,4751.5,5023.9,0.54, /- ,0.6888,1.4519,84.2154
53,chr3R,12651820,12652170,12652000,3827,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:12646820-12657170,"abd-A,Glut3,CG10349,","0,-36255,53449,", abd-A ,1738,2906.8,4419.8,4154.4,0.52, /- ,0.6997,1.4292,106.5314
54,chr2R,2701440,2701800,2701620,3945.4,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:2696440-2706800,"CG3287,koi,ubl,","0,944,-3601,", koi ,944,3305.4,4100.2,4430.7,0.42, /- ,0.746,1.3404,361.5138
55,chr2L,21618820,21619150,21618970,4049.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:21613820-21624150,"CG2201,Df31,Ac3,","0,7619,13628,", CG2201 ,198,3324,4328.6,4536.5,0.45, /- ,0.7327,1.3648,355.8775
56,chr2L,1518040,1518430,1518240,3729.7,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:1513040-1523430,"halo,CG18132,Or22a,","-56,-762,2372,", halo ,56,2709,3618,4876.9,0.85, // ,0.5555,1.8003,469.82
57,chr3R,12076980,12077360,12077190,3703.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:12071980-12082360,"tara,bor,Mat89Bb,","0,9881,12699,", tara ,8650,2623.7,3778.5,4716.1,0.85, // ,0.5563,1.7975,261.7989
58,chr2L,5550740,5551110,5550960,3699.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:5545740-5556110,"CG14014,CG18269,Oscillin,","-125,1085,-1346,", CG14014 ,125,4726.6,3134.1,3237.3,-0.55, \- ,1.46,0.6849,71.5347
59,chr2R,4017000,4017480,4017290,3664.6,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:4012000-4022480,"Pbp49,Socs44A,Pabp2,","0,-309,1627,", Pbp49 ,1547,3761.9,4320.1,2922.7,-0.36, -\ ,1.2871,0.7769,468.8714
60,chr2L,3072260,3072600,3072430,4017.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:3067260-3077600,"toc,CG3523,v(2)k05816,","0,-4246,-16829,", toc ,122,3170.6,3791.8,5100.6,0.69, -/ ,0.6216,1.6087,409.908
61,chr2L,2576560,2576920,2576750,3973.6,UTR5,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:2571560-2581920,"insv,CG9883,Rad1,","0,920,-1670,", insv ,256,3044.6,4345.1,4535.9,0.58, /- ,0.6712,1.4898,385.3521
62,chrX,10703220,10703540,10703400,3971.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:10698220-10708540,"Imp,sesB,Ant2,","0,-22422,-22487,", Imp ,2515,3344,4093.3,4477.6,0.42, /- ,0.7468,1.339,133.4965
63,chr2R,9450950,9451880,9451420,3641.9,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:9445950-9456880,"CG13334,CG13333,CG13335,","-3810,-6573,7468,", CG13334 ,5371,4193.8,3532.1,3445,-0.28, -- ,1.2174,0.8214,705.0066
64,chr3R,26675380,26675920,26675750,3617,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:26670380-26680920,"tll,CG15544,Cpr100A,","2286,-7994,17494,", tll ,2286,4508.7,2891.4,3482.2,-0.37, \- ,1.2948,0.7723,36.7912
65,chr2R,7086460,7086830,7086640,3753.3,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:7081460-7091830,"shn,CG9084,Syx6,","0,18277,20405,", shn ,265,2904.6,3770.1,4590.3,0.66, // ,0.6328,1.5804,682.6512
66,chr2L,8832260,8832730,8832500,3611.9,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:8827260-8837730,"SoxN,CG32986,CG32987,","-2830,30306,31341,", SoxN ,6876,5107.4,3076.9,2815.7,-0.86, \- ,1.8139,0.5513,86.5399
67,chr3R,20381410,20381780,20381620,3642.2,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:20376410-20386780,"CG6643,CG13624,CG5789,","0,3381,-12017,", CG6643 ,6883,3385.5,3807.2,3769.4,0.15, -- ,0.8981,1.1134,567.4049
68,chrX,15540680,15541340,15540990,3550,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:15535680-15546340,"CG8117,CG8119,sog,","-1966,15627,-20417,", CG8117 ,2736,3931.5,3447.9,3288.8,-0.26, -- ,1.1954,0.8365,145.0674
69,chr3L,11230410,11230750,11230580,3524.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:11225410-11235750,"CG6185,CG34240,CG18490,","-1542,-7845,-9689,", CG6185 ,1542,2437.8,3590.4,4545.7,0.9, // ,0.5363,1.8647,392.8687
70,chr2R,18578050,18578390,18578240,3482.6,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:18573050-18583390,"ppa,robo,CG30259,","-1762,1788,10708,", ppa ,1762,3333.6,3517.8,3602.9,0.11, -- ,0.9253,1.0808,785.6538
71,chrX,11216290,11216670,11216510,3472.1,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:11211290-11221670,"sisA,l(1)10Bb,CG1657,","-131,1820,2984,", sisA ,131,5229.7,2890.9,2309.4,-1.18, \- ,2.2645,0.4416,243.8296
72,chr3L,18581650,18581970,18581790,4104.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:18576650-18586970,"CG7271,term,CG13380,","72,3612,11457,", CG7271 ,72,4632.5,3724.5,3957.6,-0.23, -- ,1.1705,0.8543,68.9822
73,chr3R,20574800,20575520,20575080,3444.3,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:20569800-20580520,"tok,tld,asp,","-225,375,4544,", tld ,375,3828.5,3390.1,3189.3,-0.26, -- ,1.2004,0.833,310.886
74,chr2L,11794000,11794320,11794150,3742.6,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:11789000-11799320,"CG14937,crol,Tsp33B,","-67,176,-1785,", CG14937 ,67,4231.6,3207.8,3788.2,-0.16, \- ,1.117,0.8952,496.4818
75,chrX,8189580,8189920,8189700,3743.6,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chrX:8184580-8194920,"nAcRalpha-7E,CG1636,CG15343,","0,-20247,-22460,", CG1636 ,22251,5294.2,2853.2,3088.6,-0.78, \- ,1.7141,0.5834,97.3381
76,chr3L,2197130,2197510,2197340,3379.9,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:2192130-2202510,"CG8960,CG5707,CG13810,","0,-5160,-9691,", CG8960 ,93,3914.5,3514.6,2710.5,-0.53, -\ ,1.4442,0.6924,183.4009
77,chr2L,8841740,8842060,8841920,3572.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:8836740-8847060,"SoxN,CG32986,CG32987,","-12250,20886,21921,", SoxN ,16296,1850.2,3727.1,5177.8,1.48, // ,0.3573,2.7985,528.8174
78,chr2R,16215460,16215810,16215630,3428.6,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:16210460-16220810,"CG8929,MED8,CG8920,","0,-1319,-2148,", CG8929 ,859,3519.6,3486.5,3290,-0.1, -- ,1.0698,0.9348,312.4824
79,chr3L,4677280,4677900,4677680,3325.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:4672280-4682900,"CG34266,axo,CG7514,","170,-1773,9906,", CG34266 ,170,4579.9,2910,2533.1,-0.85, \- ,1.808,0.5531,40.3304
80,chr3R,2579810,2580380,2579980,3318.4,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:2574810-2585380,"zen,CG1162,bcd,","0,32,1583,", zen ,59,3214.3,3423.5,3317.4,0.05, -- ,0.9689,1.0321,423.2137
81,chr3R,1037810,1038150,1037980,3659.9,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:1032810-1043150,"cno,CG12161,CG1116,","0,5486,7409,", cno ,5167,2034.7,3886.1,5058.8,1.31, // ,0.4022,2.4863,404.6895
82,chr3R,1450530,1451200,1450740,3302.5,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:1445530-1456200,"RpL13A,Spec2,CG2911,","0,-896,-930,", RpL13A ,555,4513.9,3632.8,1829.5,-1.3, -\ ,2.4673,0.4053,173.6298
83,chr2R,9853670,9854010,9853830,3661.8,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:9848670-9859010,"Cp1,Aats-phe,CG6704,","0,2021,3590,", Aats-phe ,2021,3403.2,3608.4,3990.8,0.23, -- ,0.8528,1.1726,171.5722
84,chr2R,3378110,3378450,3378280,3550.3,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:3373110-3383450,"CG1621,CG42396,CG1620,","53,-912,3029,", CG42396 ,912,3338.8,4280.9,3039.4,-0.14, /\ ,1.0985,0.9103,384.9357
85,chr2R,10095480,10095800,10095650,3306.1,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:10090480-10100800,"Sox15,CG30071,RpS23,","0,-2838,7089,", CG30071 ,3489,1725.7,3619,4573.7,1.41, // ,0.3773,2.6503,280.847
86,chr3L,8663060,8663660,8663470,3248.8,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:8658060-8668660,"h,CG6486,Arr2,","5388,-19359,-21434,", h ,5388,3143.2,3103.9,3514.8,0.16, -- ,0.8943,1.1182,137.7742
87,chr3R,785540,785890,785710,3508.6,CDS,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:780540-790890,"CG2016,CG14661,CG1124,","0,-4736,5458,", CG2016 ,1360,2328.8,3777.5,4433.5,0.93, // ,0.5253,1.9038,192.1622
88,chr3R,4683350,4683690,4683520,3599.5,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3R:4678350-4688690,"pyd,CG9731,CG8379,","0,4195,-30513,", pyd ,137,2534.8,4100.7,4162.9,0.72, /- ,0.6089,1.6423,525.1744
89,chr2R,15549240,15549820,15549420,3263.5,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:15544240-15554820,"CG11018,hrg,CG15125,","520,2001,-2328,", CG11018 ,520,3941.9,3236.4,2612.1,-0.59, -- ,1.5091,0.6626,381.1456
90,chr3L,20690340,20690690,20690520,3349.8,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:20685340-20695690,"kni,CG34260,CG13253,","-2057,11984,15413,", kni ,2057,4491,3428.8,2142.4,-1.07, \\ ,2.0962,0.477,51.2821
91,chr3L,14939150,14939490,14939320,3672.6,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:14934150-14944490,"BobA,CG13465,CG42247,","-108,-1928,-3312,", BobA ,108,3083.1,3712.8,4236.7,0.46, /- ,0.7277,1.3742,239.9675
92,chr2L,12080980,12081840,12081160,3195.2,Intergenic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:12075980-12086840,"prd,CG14947,CG5325,","1836,-3525,12610,", prd ,4218,3067.6,3279.9,3322,0.11, -- ,0.9234,1.0829,163.3668
93,chr3L,2482910,2483400,2483160,3174.2,Promoter,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr3L:2477910-2488400,"CG33232,Cyp4d20,CG1146,","0,-4667,5658,", CG33232 ,120,2721.6,3075.8,3731,0.46, -/ ,0.7294,1.3709,196.5964
94,chr2L,9988200,9988530,9988380,3162.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2L:9983200-9993530,"bib,CG13130,CG31875,","0,-3723,7180,", CG13130 ,3723,1922.8,3827.8,3740.8,0.96, /- ,0.514,1.9455,819.9988
95,chr2R,17170260,17170630,17170450,3286.4,Intronic,http://genome.ucsc.edu/cgi-bin/hgTracks?position=chr2R:17165260-17175630,"CG10069,CG34203,CG10505,","0,-1289,2774,", CG10069 ,546,2906.8,3419.2,3546.3,0.29, -- ,0.8197,1.22,211.6149
